name,ra_frb,dec_frb,dm,z_spec,host_r_mag,p_host,z_ps1,z_ps1_err,ps1_matched
FRB 20230203A,151.66159,35.6941,420.1,0.1464,17.92,0.938,,,False
FRB 20230222A,106.96036,11.22452,706.1,0.1223,17.53,0.985,,,False
FRB 20230222B,238.73912,30.8987,187.8,0.11,17.42,0.981,,,False
FRB 20230311A,91.10966,55.94595,364.3,0.1918,19.38,0.774,,,False
FRB 20230703A,184.62445,48.72993,291.3,0.1184,18.08,0.973,,,False
FRB 20230730A,54.66456,33.1593,312.5,0.2115,21.41,0.952,,,False
FRB 20230926A,269.12488,41.8143,222.8,0.0553,15.46,0.996,,,False
FRB 20231005A,246.028,35.44871,189.4,0.0713,17.82,0.985,,,False
FRB 20231007B,307.53169,72.89235,202.4,,18.76,0.946,,,False
FRB 20231011A,18.2411,41.7491,186.3,0.0783,17.92,0.991,,,False
FRB 20231017A,346.75429,36.65268,344.2,0.245,20.36,0.918,,,False
FRB 20231025C,71.97723,33.23799,510.4,,20.41,0.948,,,False
FRB 20231025B,270.78807,63.98908,368.7,0.3238,20.93,0.925,,,False
FRB 20231123A,82.62325,4.47554,302.1,0.0729,18.29,0.956,,,False
FRB 20231128A,199.5782,42.99271,331.6,0.1079,17.31,0.985,,,False
FRB 20231201A,54.58929,26.81767,169.4,0.1119,19.43,0.911,,,False
FRB 20231202A,65.03039,38.63328,437.7,,22.74,0.988,,,False
FRB 20231204A,207.99903,48.116,221.0,0.0644,15.4,0.976,,,False
FRB 20231206A,112.44284,56.25627,457.7,0.0659,16.12,0.989,,,False
FRB 20231223C,259.54465,29.49794,165.8,0.1059,16.49,0.953,,,False
FRB 20231229A,26.46783,35.11292,198.5,0.019,14.27,0.998,,,False
FRB 20231230A,72.79761,2.39398,131.4,0.0298,14.65,0.918,,,False
