tns_name,previous_name,repeater_name,event_id,sub_num,ra,ra_err,dec,dec_err,ra_dec_notes,gl,gb,exp_up,exp_up_err,exp_low,exp_low_err,exp_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,fluence,fluence_err,fluence_notes,fluence_win_extended,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,notes_fitb,intrachan_flag,excluded_flag,sidelobe_flag,citizen_science_flag,catalog1_flag,catalog1_param_flag,z,z_type,z_mean,z_error
FRB20180725A,180725.J0613+67,,9386707.0,0.0,93.70252443092896,0.0060831720378702,64.75818221808792,0.0222994301413024,,149.66279437306022,20.612574846075965,201.52432383891409,91.1324532998262,0.0,0.0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,19.2393493652,716.5512084961,,,,,32.11109690371666,715.9129415697413,0.0199193595213218,641.8104315605474,631.10781867973,0.001966080017155,0.0,,0.4770387872760789,0.3210687798551335,1.6334302966929706,0.9367237278929548,,1.0,58324.74980309869,3.5321274793886914e-09,58324.74958842173,6.940076957562269e-09,0.0006923033830012,2.617845189457816e-05,49.755092434800886,4.740018783113608,-57.49007469300952,5.351369869203648,753.55224609375,505.01708984375,616.88232421875,1830540.87745564,1831566.0,0.3099365234375,,0.0,1.0,0.0,0.0,1.0,0.0,,photo,,0.1
FRB20180727A,180727.J1311+26,,9461009.0,0.0,197.7162848952064,0.127518260945769,26.421681448933832,0.260982661535157,,24.776833491265485,85.60704328044199,78.84732114126571,46.71968793165089,0.0,0.0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,10.3927898407,642.1463623047,,,,,13.406231647470696,642.0138223770299,0.0285761865592717,620.6921156337307,622.263449965856,0.0039321599761024,0.0,,0.58,0.31,2.31,0.76,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58326.03626155188,3.714252017061881e-09,58326.03606903466,9.33806099112644e-09,0.0010286763874649,0.0001047050663155,5.091749639151258,2.033647048606279,-11.347635759247854,3.2238138240569985,785.82763671875,400.20751953125,500.84228515625,1863954.2729530155,1864128.0,0.29766845703125,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
FRB20180729A,180729.J1316+55,,9541535.0,0.0,199.4024267704438,0.12046298392674,55.57696174973636,0.084349796884385,,115.25786364637246,61.15962926702645,126.55631070027124,68.87413536818481,0.0,0.0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,32.0097732544,108.3723068237,,,,,194.62290698319,109.60779528211836,0.00045680534085,78.74157883503162,86.79200658554264,0.0019660800462588,0.0,,2.107821449280217,0.7060706742580256,3.175465644490814,1.0455560501442016,,1.0,58328.03356500689,6.070699498650356e-11,58328.03353213939,1.4901146982992938e-10,0.000285502975475,9.82287421965575e-07,15.185623655914537,0.209122613014253,-27.609982067835844,0.3459053902421069,703.25927734375,400.20751953125,526.86767578125,1864163.9240774128,1902036.0,0.28338623046875,,0.0,1.0,0.0,0.0,1.0,0.0,,photo,,0.1
FRB20180729B,180729.J0558+56,,9564770.0,0.0,89.92858135815084,0.266271665893108,56.49539861429182,0.239360396687544,,156.90502123317992,15.68107051568376,153.50847657744828,77.03251717973814,0.0,0.0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,12.4350528717,318.6469116211,,,,,26.97809337072389,317.31088576524843,0.0036180398659018,223.3543460696999,198.82240668087903,0.0019660800462588,0.0,,0.92,0.59,1.2,0.74,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58328.72803203454,7.11944281306387e-10,58328.72793688424,1.2969518792260715e-09,0.0001416273228658,1.2593016536677353e-06,135.12511302786575,15.256673280499,-125.33913054540578,13.861607643311949,785.65673828125,599.13330078125,686.07177734375,2022652.18247808,2023374.0,0.2376708984375,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
FRB20180730A,180730.J0353+87,,9574801.0,0.0,268.8405851950719,0.0262810247987189,85.42698025543112,0.0326585602733828,,117.8989524112642,28.14608678093836,1240.1756702426533,63.90238426606189,1456.215390430865,31.053406380358982,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,69.4571609497,849.1859741211,,,,,88.37696395389702,848.8783200451409,0.0038838752482108,796.2228285195931,800.0211270652965,0.0058982401387766,0.0100989195730296,0.0002628758422258,5.2,2.8,27.0,12.0,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58329.15113405184,6.401990049198503e-10,58329.15087950327,1.3273080412545823e-09,0.0004128824360633,2.121387054574426e-05,2.078152594885448,0.291306319973601,-7.62940918595922,0.4532018901792237,794.32373046875,400.20751953125,458.58154296875,2022049.512242292,2029853.0,0.2352294921875,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
FRB20180801A,180801.J2130+72,,9641579.0,0.0,322.59506360427514,0.0123691733898711,69.30032462766565,0.040035881482602,,106.73126698396489,13.029460674833938,252.3918219312393,109.989416068767,0.0,0.0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,20.4454574585,656.7037963867,,,,,39.66993915788696,656.0656678851907,0.0457393746914462,550.5040483993365,519.9783465023615,0.0058982399641536,0.0252904273922379,0.0015383653333168,1.11,0.65,7.9,4.8,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58331.36625035387,8.016272090571874e-09,58331.366053623,1.5886293169842247e-08,0.000524581104282,7.125640604415191e-05,73.1287586896383,6.955542104733982,-89.17716757177882,7.998936622601285,708.14208984375,513.53759765625,603.03955078125,1945666.295927209,1947233.0,0.266357421875,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
FRB20180806A,180806.J1515+75,,9976641.0,0.0,228.5640197468093,0.071271307882967,75.62206010034501,0.388463364808934,,112.27541567191447,38.40099506143072,276.7988137806778,152.21838171782622,249.56850351508467,129.6801324267001,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,13.882144928,739.1961669922,,,,,16.75787119828739,739.9004464711068,0.0290026759160819,699.1679435341836,705.868813536668,0.0029491200693883,0.0,,0.4847536673532652,0.2473495087686181,1.840084657870109,0.7818039715850118,,1.0,58336.59251166848,5.792136548166127e-09,58336.59228979852,1.0447370968336145e-08,0.0009294606410234,6.416289778484125e-05,4.758249841714807,2.506575977714534,-2.074571171075496,2.5835880881731343,800.18310546875,400.20751953125,800.18310546875,1838581.1737529016,1838856.0,0.30718994140625,,0.0,1.0,0.0,0.0,1.0,0.0,,photo,,0.1
FRB20180810A,180810.J0646+34,,10353713.0,0.0,101.47363906977246,0.129474572463891,34.86439662782972,0.243388331101769,,180.6695465429034,14.06342604536514,86.88620507005822,56.19840858722052,0.0,0.0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,13.0673112869,415.6967468262,,,,,16.72515676117141,414.8922852341245,0.0016907398192893,310.35325736936187,274.81356786130783,0.0019660799298435,0.0,,1.1,0.86,1.7,1.0,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58340.72847225658,2.8974334043141415e-10,58340.72834784507,5.850075979196845e-10,0.0001738985915106,3.30471197344801e-06,7.813766218034384,1.904768295111812,-9.38616027578432,2.279314349290477,800.18310546875,400.20751953125,606.79931640625,407240.2691313142,407514.0,0.378173828125,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
FRB20180810B,180810.J1159+83,,10366092.0,0.0,189.0450921427603,0.0362894453521605,77.97946605085505,0.1099698690885091,,123.9551320329792,39.118457898612746,312.8382516957768,186.8888464284608,281.8700123720416,191.34542774075507,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,38.5518455505,169.8371887207,,,,,54.75488433518928,169.10131388006008,0.0018215182795545,128.11470204929432,135.34862634395273,0.0019660799298435,0.0005940474852767,1.182262719680628e-05,5.2,1.3,7.9,2.1,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58340.94495340743,2.4283330901653244e-10,58340.944902699935,5.960458793197174e-10,0.0003332296417349,7.298237275680189e-06,-1.593525831367596,0.3829297080713161,-1.8758942878088487,0.685154752351494,800.18310546875,400.20751953125,400.20751953125,1787911.90264144,1790903.0,0.32525634765625,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
FRB20180812A,180812.J0112+80,,10648497.0,0.0,19.33008968103168,0.27394279217849,80.7797095655935,0.275890240223205,,124.01959135562802,17.962668764873097,478.421086194023,248.9060803293852,460.4292194448868,232.2356085976179,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,12.4575681686,795.80859375,,,,,20.284448157795943,802.400164648213,0.0320064777295114,719.9693304342004,703.1927856956429,0.0058982400078093,0.0117908866418943,0.0015689069074756,0.93,0.58,5.4,2.8,Flux/fluence measurements and errors taken from Catalog 1.,1.0,58342.49009228501,3.325167696743847e-09,58342.4898516736,1.0157624075191052e-08,0.0008214314432693,0.0005152028950004,-4.02617462536828,3.02615647141894,-6.537304877691365,10.22216807443838,573.98681640625,400.20751953125,400.20751953125,1801838.541162933,1802243.0,0.32098388671875,,0.0,1.0,0.0,0.0,1.0,1.0,,photo,,0.1
