Name,RA_J2000,Dec_J2000,z_spec,DM_obs,DM_MW,DM_excess,Source
FRB20230203A,10:06:38.4,+35:41:24.0,0.146,420.1,36.3,383.8,CHIME-KKO
FRB20230222A,07:07:50.4,+11:13:12.0,0.122,706.1,134.2,571.9,CHIME-KKO
FRB20230222B,15:54:57.6,+30:54:00.0,0.110,187.8,27.7,160.1,CHIME-KKO
FRB20230311A,06:04:26.4,+55:57:00.0,0.192,364.3,92.5,271.8,CHIME-KKO
FRB20230703A,12:18:28.8,+48:43:48.0,0.118,291.3,26.9,264.4,CHIME-KKO
FRB20230730A,03:38:38.4,+33:09:36.0,0.212,312.5,85.2,227.3,CHIME-KKO
FRB20230926A,17:56:28.8,+41:48:36.0,0.055,222.8,52.6,170.2,CHIME-KKO
FRB20231005A,16:24:07.2,+35:27:00.0,0.071,189.4,33.5,155.9,CHIME-KKO
FRB20231011A,01:12:57.6,+41:45:00.0,0.078,186.3,70.4,115.9,CHIME-KKO
FRB20231017A,23:07:00.0,+36:39:00.0,0.245,344.2,64.6,279.6,CHIME-KKO
FRB20231025B,18:03:09.6,+63:59:24.0,0.324,368.7,48.6,320.1,CHIME-KKO
FRB20231123A,05:30:28.8,+04:28:48.0,0.073,302.1,89.7,212.4,CHIME-KKO
FRB20231128A,13:18:19.2,+42:59:24.0,0.108,331.6,25.0,306.6,CHIME-KKO
FRB20231201A,03:38:21.6,+26:49:12.0,0.112,169.4,70.0,99.4,CHIME-KKO
FRB20231204A,13:52:00.0,+48:07:12.0,0.064,221.0,29.8,191.2,CHIME-KKO
FRB20231206A,07:29:45.6,+56:15:36.0,0.066,457.7,59.1,398.6,CHIME-KKO
FRB20231223C,17:18:09.6,+29:30:00.0,0.106,165.8,47.9,117.9,CHIME-KKO
FRB20220307B,23:23:28.8,+72:11:24.0,0.248,499.3,128.2,371.0,DSA-110
FRB20220310F,08:58:52.8,+73:29:24.0,0.478,462.2,46.3,415.9,DSA-110
FRB20220418A,14:36:26.4,+70:06:00.0,0.622,623.3,36.7,586.6,DSA-110
FRB20220506D,21:12:09.6,+72:49:48.0,0.300,397.0,84.6,312.4,DSA-110
FRB20220509G,18:50:40.8,+70:14:24.0,0.089,269.5,55.6,213.9,DSA-110
FRB20220825A,20:47:55.2,+72:34:48.0,0.241,651.2,78.5,572.8,DSA-110
FRB20220914A,18:48:14.4,+73:20:24.0,0.114,631.3,54.7,576.6,DSA-110
FRB20220920A,16:01:02.4,+70:55:12.0,0.158,315.0,39.9,275.1,DSA-110
FRB20221012A,18:43:12.0,+70:31:12.0,0.285,441.1,54.3,386.7,DSA-110
